trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size>

a	0.501111	1	0	0
s	0.501111	1	1	0
a	0.515724	2	1	0
d	0.520613	1	1	1
s	0.520613	2	1	0
d	0.554795	2	0	0
a	0.603129	3	0	0
s	0.603129	3	1	0
a	0.662668	4	1	0
d	0.669776	3	1	1
s	0.669776	4	1	0
d	0.909027	4	0	0
a	1.05829	5	0	0
s	1.05829	5	1	0
d	1.1391	5	0	0
a	1.16469	6	0	0
s	1.16469	6	1	0
a	1.40071	7	1	0
a	1.52772	8	1	1
a	1.64029	9	1	2
d	1.70136	6	1	3
s	1.70136	7	1	2
d	1.72579	7	1	2
s	1.72579	8	1	1
d	1.74778	8	1	1
s	1.74778	9	1	0
a	1.7835	10	1	0
a	1.79012	11	1	1
d	1.86753	9	1	2
s	1.86753	10	1	1
a	1.88523	12	1	1
a	1.96336	13	1	2
a	1.9758	14	1	3
a	1.98448	15	1	4
a	2.00908	16	1	5
d	2.01221	10	1	6
s	2.01221	11	1	5
d	2.13352	11	1	5
s	2.13352	12	1	4
d	2.23138	12	1	4
s	2.23138	13	1	3
a	2.25158	17	1	3
d	2.27036	13	1	4
s	2.27036	14	1	3
a	2.39551	18	1	3
a	2.50548	19	1	4
a	2.51434	20	1	5
d	2.74378	14	1	6
s	2.74378	15	1	5
a	2.77591	21	1	5
d	2.83918	15	1	6
s	2.83918	16	1	5
a	2.90535	22	1	5
a	2.93833	23	1	6
d	2.9883	16	1	7
s	2.9883	17	1	6
a	3.00625	24	1	6
a	3.02723	25	1	7
d	3.1661	17	1	8
s	3.1661	18	1	7
d	3.17128	18	1	7
s	3.17128	19	1	6
d	3.36677	19	1	6
s	3.36677	20	1	5
d	3.40487	20	1	5
s	3.40487	21	1	4
d	3.41797	21	1	4
s	3.41797	22	1	3
d	3.43762	22	1	3
s	3.43762	23	1	2
a	3.46309	26	1	2
a	3.54942	27	1	3
a	3.55952	28	1	4
d	3.60298	23	1	5
s	3.60298	24	1	4
d	3.67152	24	1	4
s	3.67152	25	1	3
d	3.72796	25	1	3
s	3.72796	26	1	2
a	3.7308	29	1	2
d	3.76054	26	1	3
s	3.76054	27	1	2
